city,country,name,properties,Air conditioning,BBQ grill,Baby safety gates,Backyard,Baking sheet,Bathtub,Bed linens,Bidet,Body soap,Books and reading material,Breakfast,Carbon monoxide alarm,Ceiling fan,Central heating,Children’s books and toys,Cleaning products,Clothing storage,Coffee,Coffee maker,Conditioner,Cooking basics,Crib,Dedicated workspace,Dining table,Dishes and silverware,Dishwasher,Dryer,Drying rack for clothing,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,First aid kit,Free driveway parking on premises,Free street parking,Freezer,"HDTV with Netflix, standard cable",Hair dryer,Hangers,Heating,High chair,Hot water,Hot water kettle,Indoor fireplace,Iron,Kitchen,Laundromat nearby,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Mini fridge,Mosquito net,Outdoor furniture,Outlet covers,Oven,Paid parking off premises,Paid parking on premises,Patio or balcony,Portable fans,Private entrance,Radiant heating,Refrigerator,Room-darkening shades,Security cameras on property,Self check-in,Shampoo,Shower gel,Single level home,Smoke alarm,Smoking allowed,Sound system with aux,Stove,Suitable for events,TV,Trash compactor,Washer,Wifi,Wine glasses,geneva green conditioner
Chambarak,Armenia,Beautiful Guest House in Chambarak,"What this place offers Bathroom Hair dryer Shampoo Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Bed linens Extra pillows and blankets Iron Entertainment TV with standard cable Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Home safety Carbon monoxide alarm Fire extinguisher Lock on bedroom door Private room can be locked for safety and privacy Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Cooking basics Pots and pans, oil, salt and pepper Coffee maker Location features Lake access Guests can get to a lake using a path or dock Private entrance Separate street or building entrance Outdoor Patio or balcony Backyard An open space on the property usually covered in grass Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed Breakfast Breakfast is provided Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Aghavnavank,Armenia,Forest hut,"What this place offers Bedroom and laundry Essentials Towels, bed sheets, soap, and toilet paper Entertainment Suitable for events The listing can accommodate a gathering of 25 or more attendees Home safety First aid kit Internet and office Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Cooking basics Pots and pans, oil, salt and pepper Dishes and silverware Coffee maker Location features Waterfront Right next to a body of water Outdoor Patio or balcony Backyard An open space on the property usually covered in grass Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed Smoking allowed Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sevan,Armenia,Rest in Sevan geghama ashxarh,"What this place offers Bathroom Hair dryer Shampoo Hot water Bedroom and laundry Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Air conditioning Heating Home safety Carbon monoxide alarm Fire extinguisher First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Outdoor Patio or balcony BBQ grill Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed Smoking allowed Long term stays allowed Allow stay for 28 days or more ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Chambarak,Armenia,"Guest House 'Old Forge' in Chambarak, Armenia","What this place offers Bathroom Hair dryer Bedroom and laundry Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Kitchen and dining Kitchen Space where guests can cook their own meals Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalavan,Armenia,Kalavan 7/8 guesthouse,"What this place offers Bathroom Hair dryer Cleaning products Shampoo Conditioner Body soap Hot water Shower gel Bedroom and laundry Washer Dryer Essentials Towels, bed sheets, soap, and toilet paper Hangers Bed linens Extra pillows and blankets Iron Drying rack for clothing Mosquito net Clothing storage Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Family Crib Pack ’n Play/travel crib High chair Changing table Heating and cooling Heating Home safety First aid kit Internet and office Wifi Available throughout the listing Dedicated workspace Pocket wifi Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Microwave Cooking basics Pots and pans, oil, salt and pepper Dishes and silverware Mini fridge Freezer Dishwasher Stove Oven Hot water kettle Coffee maker: pour-over coffee Wine glasses Baking sheet Dining table Outdoor Backyard An open space on the property usually covered in grass BBQ grill Parking and facilities Free parking on premises Services Luggage dropoff allowed For guests' convenience when they have early arrival or late departure Long term stays allowed Allow stay for 28 days or more ",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Sevan,Armenia,Sevan Shore Apartment,"What this place offers Bathroom Hair dryer Shampoo Hot water Bedroom and laundry Washer Dryer Essentials Towels, bed sheets, soap, and toilet paper Hangers Entertainment TV Heating and cooling Air conditioning Heating Home safety Smoke alarm Carbon monoxide alarm Fire extinguisher First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Location features Lake access Guests can get to a lake using a path or dock Parking and facilities Free parking on premises Services Long term stays allowed Allow stay for 28 days or more Host greets you ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Tsapatagh,Armenia,Cozy lodge overlooking Lake Sevan.,"What this place offers Bathroom Hair dryer Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Bed linens Extra pillows and blankets Iron Entertainment TV Home safety Lock on bedroom door Private room can be locked for safety and privacy First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Location features Private entrance Separate street or building entrance Parking and facilities Free parking on premises Services Breakfast Breakfast is provided Host greets you ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Kalavan,Armenia,Comfortable and peaceful room in Kalavan house,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Home safety First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Cooking basics Pots and pans, oil, salt and pepper Dishes and silverware Stove Coffee maker Outdoor Backyard An open space on the property usually covered in grass BBQ grill Parking and facilities Free parking on premises Services Long term stays allowed Allow stay for 28 days or more ",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Chambarak,Armenia,B&B ANNA Guest house Anna Chambarak,"What this place offers Bathroom Hair dryer Shampoo Hot water Shower gel Bedroom and laundry Paid washer – In building Essentials Towels, bed sheets, soap, and toilet paper Hangers Bed linens Extra pillows and blankets Iron Entertainment TV with standard cable Suitable for events The listing can accommodate a gathering of 25 or more attendees Family Window guards Heating and cooling Heating Home safety Lock on bedroom door Private room can be locked for safety and privacy First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Refrigerator Cooking basics Pots and pans, oil, salt and pepper Dishes and silverware Electric stove Coffee maker Dining table Outdoor Shared backyard An open space on the property usually covered in grass Outdoor dining area BBQ grill Parking and facilities Free parking on premises Free street parking Services Luggage dropoff allowed For guests' convenience when they have early arrival or late departure Breakfast Breakfast is provided Long term stays allowed Allow stay for 28 days or more Cleaning before checkout ",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Martuni,Armenia,Bee&B - Apitherapy center & Guesthouse,"What this place offers Bathroom Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Internet and office Wifi Available throughout the listing Dedicated workspace Location features Private entrance Separate street or building entrance Parking and facilities Free parking on premises Private living room Services Pets allowed Assistance animals are always allowed Breakfast Breakfast is provided Smoking allowed Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Sevan,Armenia,Aurum Trip Guest House with a great view,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Home safety Lock on bedroom door Private room can be locked for safety and privacy Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Stove Location features Lake access Guests can get to a lake using a path or dock Private entrance Separate street or building entrance Parking and facilities Free parking on premises Free street parking Private living room Services Pets allowed Assistance animals are always allowed Breakfast Breakfast is provided Smoking allowed Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Sevan,Armenia,Economy homes on the Sevan Peninsula,"What this place offers Bathroom Hair dryer Bedroom and laundry Essentials Towels, bed sheets, soap, and toilet paper Entertainment TV Heating and cooling Heating Home safety Lock on bedroom door Private room can be locked for safety and privacy First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Parking and facilities Free parking on premises Private living room Services Breakfast Breakfast is provided Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Sevan,Armenia,Sevan hangsti tun Geghama ashxarh,"What this place offers Bathroom Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Iron Entertainment Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Home safety Fire extinguisher First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed Smoking allowed ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Sevan,Armenia,Writers' Holiday Home (Sevan Peninsula),"What this place offers Bathroom Shampoo Hot water Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Entertainment TV with standard cable Suitable for events The listing can accommodate a gathering of 25 or more attendees Internet and office Wifi Available throughout the listing Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed Smoking allowed Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Norashen,Armenia,The edge of the world,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Home safety Smoke alarm Carbon monoxide alarm First aid kit Internet and office Wifi Available throughout the listing Kitchen and dining Kitchen Space where guests can cook their own meals Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed Breakfast Breakfast is provided Smoking allowed Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Sevan,Armenia,Modern cottage in the national park and near Lake,"What this place offers Bathroom Hair dryer Shampoo Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment TV Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Indoor fireplace Heating Internet and office Wifi Available throughout the listing Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Location features Private entrance Separate street or building entrance Parking and facilities Free parking on premises Services Pets allowed Assistance animals are always allowed Smoking allowed Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Kalavan,Armenia,Large Country House with lovely views for 6 people,"What this place offers Bathroom Shampoo Bedroom and laundry Washer Essentials Towels, bed sheets, soap, and toilet paper Hangers Iron Entertainment Suitable for events The listing can accommodate a gathering of 25 or more attendees Heating and cooling Heating Home safety Smoke alarm First aid kit Internet and office Dedicated workspace Kitchen and dining Kitchen Space where guests can cook their own meals Dishes and silverware Coffee maker Location features Private entrance Separate street or building entrance Parking and facilities Free parking on premises Free street parking Services Pets allowed Assistance animals are always allowed Host greets you Long term stays allowed Allow stay for 28 days or more ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Ijevan,Armenia,Standard room N1,"What this place offers Bathroom Shampoo Hot water Bedroom and laundry Essentials Towels, bed sheets, soap, and toilet paper Hangers Entertainment TV Heating and cooling Air conditioning Heating Home safety Carbon monoxide alarm Internet and office Wifi Available throughout the listing Dedicated workspace Location features Private entrance Separate street or building entrance Parking and facilities Free parking on premises Services Long term stays allowed Allow stay for 28 days or more ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
